민원 내용	담당부서
"한독의원 맞은편 계단에 도색한 후 몇개월이 지났는데도 쓰고 난 페인트통을 처리하지 않고 그대로 방치하여 보기에 좋지 않고 쓰레기가 자꾸 쌓입니다
해당 담당자는 페인트통을 치워주시고 쓰레기도 수거하여 깨끗한 환경을 만들어 주시기 바랍니다"	경제환경국 자원순환과
"저희 아파트앞 우수맨홀이 지면 틀과 헐겁게 되어있어 주민들 발이 빠질것 같은데 점검 좀 부탁드립니다.

※ 첨부파일 :
Resized_20231125_105847.jpg
20231125_072204.jpg
Resized_20231125_110043.jpg"	안전도시국 건설과
"수내마을 주민입니다.

집 주변 공사관련하여 문의사항이 있어 전화드립니다.

저는 금정구 선두구동 '333-8도' 도로를 접하고 있는 토지 소유주로 해당 도로는

기존 333번지를 토지 개발을 위해 분필하면서 건축요건을 위해 개설한 도로로 알고 있습니다.

해당 도로 관련하여 부동산이나 토지개발 종사자분들께 들은 바로는 해당 도로를 접하고

있는 332-1,2,3,4,5 토지 소유자들도 인접토지소유자로써 협의(간단하게 말하면 도장을 찍어줘야 한다..)를 해 줘야

도로 개설 요건이 된다는 이야기를 들었는데 건축시 관련 사항이 없었습니다. 이미 도로가 개설되고 분필된 토지에

건축이 진행되었습니다.

실질적으로 333 번지 토지들의 개발 행위로 인한 332 토지 소유주들의 불편과 손해가 발생할 수 있는 사항에서

도로 개설에 대한 합의 단계가 있어야 할 것 같은데, 제가 들은바 와 같이 관련 내용이 있는지

아니면 그런 부분이 건축법이나 관련 법에는 없는 것인지 궁금하여 문의 드립니다.

첨부는 해당 도로의 지적도 입니다. 참고가 될 듯하여 첨부합니다.

※ 첨부파일 :
Screenshot_20231113_125448001.jpg"	안전도시국 건설과
불연성 쓰레기봉투 판매하는곳 어디어디 있나요?	안전도시국 건축과
"1 금정구청 에서 청년의 생활 수준 향상과 생계 주거비 부담 완화를 위해 대학생 생활 안정비 지원 사업 대상자를 선발 해보자는 겁니다


2 지원 대상은 금정구에 주소를 두고 대학교에 재학 중인 기숙사생 또는 원룸 등에 거주하는 1인 가구로 적용을 해보자는 겁니다


3 지원 금액은 학기당 30만원 으로 4년제 대학의 경우 최대 8학기 240만원 까지 수급이 가능 하도록 해주자는 겁니다


4 신청 자격은 기숙사생의 경우 기숙사 입소 확인서 원룸 등에 거주할 경우 임대차 계약서 등 필요 서류를 구비하여 본인 또는 부모가 신청하는 방법으로

해주자는 겁니다


5 가족과 떨어져 혼자 생활하는 대학생 들은 생활비 부담이 클 수밖에 없는 실정으로 생활 안정비 지원 으로 청년들이 경제적 부담을 조금이나마 덜고 학업에

열중하는 데 도움이 되길 바랍니다"	경제환경국 자원순환과
"안녕하세요?
동현로 67 위로 소심유치원과 맞닿은 길이 있습니다. 아침에 3살 아이와 함께 등원하고 출근하는 길인데 너무 위험합니다.
차도와 인도사이에 어떠한 안전펜스도 없어서 차가 올때마다 바짝 붙어가려고 노력하지만 그또한 무성하게 튀어나와있는 나뭇가지들로 여의치 않습니다. 사실 차도와 인도의 경계조차 없습니다. 인도는 없고 그냥 차도만 있을뿐입니다. 차를 피하려다 나뭇가지에 옷이 상하기도 여러번입니다. 조금만 내려가면 안전펜스가 설치되어있는데요, 왜 그곳만 없는지 의문입니다. 만들때 같이 만들었으면 좋았을텐데요. 올해중에 그 도로를 공사하는걸 봤는데, 저는 당연히 그 길에 안전펜스를 설치하는 공사라고 생각했는데 전혀 아니더군요. 차가 지나가고 인도를 따로 만들어도 충분히 여유있는 폭의 도로입니다. 매일 아침이 조마조마한 등원길입니다. 아이와 안전하게 등원할수있게 소박하게라도 안전장치를 설치해주세요. 심지어 그곳은 어린이 보호구역입니다. 그런 길에서 어떻게 어린이를 보호할수 있을까요?"	경제환경국 일자리경제과
구민 을 위해 늘 수고하시는공무원 여러분께 감사합니다 다음과같이민원을제기합니다 금정구 두구동1568도로부지를 구청에서측량까지했어나 사후관리를아니하여 도로위 농작물 을 심고 안전망까지설치하여 협소한도로를사용하는 학생 .등 .하교. 주민통행에 불편을 느낌니다 조속히 통행권을 확보와 도로개설및 정비를 부탁합니다	안전도시국 교통행정과
"선두구동 거주민입니다.

집 뒤 물류창고의 새벽 상/하차 작업으로 인한 생활불편 사항이 있어서 민원 요청합니다.

민원 발생 창고 : 금정구 선두구동 수내2길 45-1
민원 내용 :
1. 소음피해 : 새벽 상하차 작업시 25톤 트럭 후진음 / 지개차 삐삐 소리 / 작업소음등 으로인한 소음공해 발생
2. 빛공해 : 대형트럭 전조등으로 인한 수면방해
3. 배기가스 : 작업 중 대형트럭 시동 켜짐 유지로 인한 배기가스 발생

상기의 3개 주요 피해 외에도 주택 인접 창고로 인한 프라이버시 침해 및 기타 소음등 피해를 보고 있습니다.
주간 작업으로 인한 소음외에도 5개월 째 주중 월/수/금 새벽 3시 창고 작업,
새벽 5시경 대형 트럭의 상하차 작업이 발생하고 있습니다. 새벽 5시 상하차입니다. 새벽 5시!
각종 소음으로 인하여 수험생의 공부 및 수면방해도 극심하고, 가족들은 평상시에도 삐삐 소리가 들리는 것 같은 환청도
있습니다. 정상적인 수면의 권리를 침해받고 있는 상황입니다.

주민의 불편을 야기하는 사업자의 책임이 크겠지만 또한 에초 주택과 도로 하나 사이에 근린생활시설이라는 이름으로
물류창고를 짓도록 승인하고 나몰라라 방치하는 건물주와 금정구의 방임이 가장 큰 원인이라 생각합니다.
(창고 건설전 관련 우려를 건설과에 전화로 민원요청했을때, 지금 허가는 근린생활시설이며, 창고로 인한 불편이 없도록
지도하겠다는 담당 주무관의 '허언'이 있긴 했습니다. 지금보니 확실히 허언이지요)

실제로 큰 도로변에 비해서 상대적으로 택지가 싼 수내마을은 주택지를 침범하는 각종 창고로 인해서
주민들의 피해가 점점 커지고 있으며 특히 수내 2길 주변으로 창고의 난립을 방치하여 저희 집처럼
바로 집 뒤에 물류 창고가 3채가 생기고, 차후 빈 택지에도 창고가 들어올 예정으로 금정구청은 주민의 생활환경에
대해서는 전혀 고려하지 않는것 같습니다.

마을 환경 고려하지 않고 상수원 보호구역 해제에만 몰두하는 금정구청을 보면 창고/공장판이 된 두구동의 미래가
눈에 선 합니다.

지금이라도 주택가의 창고 영업을 통제하고, 새벽 작업을 당장 중단하여 저희 가족이 격는 생활 불편을 해소해 줄 수 있는
구청의 행정을 바랍니다.
새벽에 촬영된 트럭 소음 영상을 첨부합니다.

※ 첨부파일 :
새벽_트럭소음_영상.mp4"	안전도시국 건설과
"상기 건물의 주차장은 설치된지 오래되어 좁고 불편하여 평소에도 안전 부분에 우려가 있는 주차장으로 . 건물 주와는 관련없이 관리업체에서 현재 관리하는 중이라고 합니다. 관리 업체의 무리한 요구에따라 오른쪽으로 바짝 붙여 주차를 하였는데 deck에 바퀴가 끼이면서 앞뒤 타이어가 찢어지고 휠과 차량 옆면 부분이 파손되는 피핼 입었습니다. 하지만 관리 업체 사장은. 본인들은 안내만 했을뿐 전혀 책임 지지 않겠다며 어떻한 보상도 보험 처리도 해줄 수 가 없다고 합니다. 순수하게 자율 주차도 아니고 위협적으로 소리치며 차량 주차를 유도하고 있는데 그와중에 난 사고가 자기들과는 전혀 책임 없다고 하니 황당할 따름이고. 하루에도 수천대 차량이 오간다 하는데 2층으로 된 이동식 주차대가 과연 안전한지도 의문입니다. 구청에서 조치 및 중재를 부탁드리겠습니다

※ 첨부파일 :
20231017_181031.jpg"	경제환경국 환경위생과
"금강로 335번길 11건물앞에 쓰레기가 일주일 넘게 방치되어있고 전봇대 경고판도 없어졌습니다. 조속히 수거바라고 경고문도 새로 달아 주셨으면 고맙겠습니다.

※ 첨부파일 :
20231105_204243.jpg"	안전도시국 교통행정과
